Date;Close;High;Low;Open;Volume
1/12/2023;26882.54;26882.54;24615.34;25165.95;2507058
1/01/2024;27275.06;30721.91;27141.85;27641.39;2211045
1/02/2024;27424.92;28757.04;25476.71;27408.27;6260506
1/03/2024;28540.57;29223.28;26309.28;27358.32;17667290
1/04/2024;28896.7;32059.95;28144.36;29341.26;9606083
1/05/2024;30692.05;32179.63;28212.75;28896.7;4431952
1/06/2024;30179.09;31273.41;29495.15;30692.05;2549028
1/07/2024;32025.47;33323.33;30113.77;30955.62;2287053
1/08/2024;33305.79;33305.79;30341.77;32025.48;2764173
1/09/2024;31779.94;33147.95;30973.16;33305.8;2316615
1/10/2024;33941.71;34570.27;31786.69;32540.95;2320706
1/11/2024;34642.1;36186.54;33295.2;33941.71;2353919
1/12/2024;33762.13;35019.23;33241.33;34642.1;2201011
1/01/2025;39612.66;40881.0;33877.55;34557.68;3139845
1/02/2025;42002.28;45035.27;34098.13;39612.65;4119641
1/03/2025;43197.09;44814.69;40072.2;42002.28;4644691
1/04/2025;50100.0;52880.0;45280.0;47000.0;5146367
1/05/2025;51300.0;54300.0;49500.0;50100.0;1813723
1/06/2025;51300.0;51300.0;51300.0;51300.0;0
