Date;Close;High;Low;Open;Volume
1/12/2021;18961.72;19300.32;17327.97;18775.49;5913952
1/01/2022;20578.74;21799.52;18921.98;19610.84;4323213
1/02/2022;21189.12;21276.32;18660.38;19985.79;11356452
1/03/2022;21189.12;21485.6;19732.92;20910.09;4047677581
1/04/2022;19183.57;21799.51;19183.57;21712.32;6182264
1/05/2022;20735.7;20883.93;15931.08;19532.36;11131037
1/06/2022;17875.6;20883.93;17239.05;20753.14;7642021
1/07/2022;17962.8;19410.29;17090.82;18111.04;3799155
1/08/2022;17016.46;19022.58;17016.46;18197.05;5633828
1/09/2022;14646.41;17717.72;12036.69;16457.24;5044083
1/10/2022;17105.23;17353.77;14113.81;14371.23;4192930
1/11/2022;17309.39;17309.39;14699.67;16856.68;3998787829
1/12/2022;18640.88;18640.88;15782.61;17265.01;6207067
1/01/2023;17242.73;20828.92;16826.15;18501.52;5232398
1/02/2023;15585.47;17505.35;15585.47;17233.67;5101017
1/03/2023;13719.92;17115.94;12959.22;15585.47;6927927
1/04/2023;16482.02;16482.02;13674.64;13765.2;3558345
1/05/2023;15938.66;16654.08;14127.45;16482.02;6517301
1/06/2023;15295.68;16934.82;14987.77;15540.19;4617132
1/07/2023;15458.69;15857.15;14707.03;15295.68;4454771
1/08/2023;13565.97;15657.92;13565.97;15657.92;692115267
1/09/2023;13511.63;14218.01;12497.36;14208.95;9149455
1/10/2023;13131.28;13584.08;12515.47;13538.8;3490114
1/11/2023;13728.98;14435.35;13040.72;13131.28;6510293
1/12/2023;14018.77;14308.57;13439.18;13891.99;6070499
1/01/2024;15268.51;16427.68;13964.44;14018.77;6400618
1/02/2024;15141.72;15793.76;14489.69;15377.18;5988942
1/03/2024;17912.88;18420.02;15033.05;15141.72;9330486
1/04/2024;16391.46;18238.9;16029.22;17858.54;12372937
1/05/2024;17333.29;17369.51;15033.05;16391.46;11181433
1/06/2024;16819.5;17854.55;16172.6;17688.2;5305018
1/07/2024;16172.6;17078.27;16172.6;16819.5;3680189
1/08/2024;17126.94;17334.42;15372.75;16504.48;6659615
1/09/2024;16108.38;17032.63;15674.54;17126.94;4585652
1/10/2024;16579.93;17372.15;15768.86;16108.38;5167734
1/11/2024;15844.3;16957.18;15749.99;16579.93;7884711
1/12/2024;15749.99;16429.03;15089.81;15844.3;5389195
1/01/2025;17818.38;18223.34;16024.97;16102.11;7075555
1/02/2025;19978.19;20074.61;16275.66;17818.38;7332764
1/03/2025;18416.18;20055.32;17856.95;19978.18;5311908
1/04/2025;21019.52;21019.52;17934.09;18416.18;5931874
1/05/2025;18628.31;21520.9;18512.6;21019.52;9012319
1/06/2025;19780.0;20120.0;19000.0;19320.0;7077244
